
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::1]:12995            [::]:0                 LISTENING       2696
  TCP    [::1]:27275            [::]:0                 LISTENING       2696
  TCP    [::1]:42050            [::]:0                 LISTENING       16192
  TCP    [::1]:57817            [::1]:5432             ESTABLISHED     21844
  TCP    [::1]:57984            [::1]:5050             CLOSE_WAIT      13180
  TCP    [::1]:57985            [::1]:5050             CLOSE_WAIT      13180
  TCP    [::1]:57986            [::1]:5050             CLOSE_WAIT      13180
  TCP    [::1]:57987            [::1]:5050             CLOSE_WAIT      13180
  UDP    0.0.0.0:53             *:*                                    1616
  UDP    0.0.0.0:3389           *:*                                    1412
  UDP    0.0.0.0:5050           *:*                                    1760
  UDP    0.0.0.0:5353           *:*                                    17040
  UDP    0.0.0.0:5353           *:*                                    17040
  UDP    0.0.0.0:5353           *:*                                    17040
  UDP    0.0.0.0:5353           *:*                                    17040
  UDP    0.0.0.0:5353           *:*                                    1908
  UDP    0.0.0.0:5353           *:*                                    13180
  UDP    0.0.0.0:5353           *:*                                    13180
  UDP    0.0.0.0:5353           *:*                                    13180
  UDP    0.0.0.0:5353           *:*                                    17040
  UDP    0.0.0.0:5355           *:*                                    1908
  UDP    0.0.0.0:49714          *:*                                    13180
  UDP    0.0.0.0:53012          *:*                                    13180
  UDP    0.0.0.0:55579          *:*                                    13180
  UDP    0.0.0.0:56529          *:*                                    13180
  UDP    0.0.0.0:57282          *:*                                    13180
  UDP    0.0.0.0:61227          *:*                                    13180
  UDP    0.0.0.0:61961          *:*                                    13180
  UDP    0.0.0.0:62496          *:*                                    13180
  UDP    0.0.0.0:63631          *:*                                    1616
  UDP    0.0.0.0:63632          *:*                                    1616
  UDP    127.0.0.1:1900         *:*                                    6560
  UDP    127.0.0.1:63639        *:*                                    6560
  UDP    172.21.16.1:137        *:*                                    4
  UDP    172.21.16.1:138        *:*                                    4
  UDP    172.21.16.1:1900       *:*                                    6560
  UDP    172.21.16.1:63640      *:*                                    6560
  UDP    172.25.128.1:137       *:*                                    4
  UDP    172.25.128.1:138       *:*                                    4
  UDP    172.25.128.1:1900      *:*                                    6560
  UDP    172.25.128.1:63637     *:*                                    6560
  UDP    192.168.0.111:137      *:*                                    4
  UDP    192.168.0.111:138      *:*                                    4
  UDP    192.168.0.111:1900     *:*                                    6560
  UDP    192.168.0.111:63638    *:*                                    6560
  UDP    [::]:3389              *:*                                    1412
  UDP    [::]:5353              *:*                                    17040
  UDP    [::]:5353              *:*                                    1908
  UDP    [::]:5353              *:*                                    13180
  UDP    [::]:5353              *:*                                    17040
  UDP    [::]:63633             *:*                                    1616
  UDP    [::1]:1900             *:*                                    6560
  UDP    [::1]:63635            *:*                                    6560
  UDP    [fe80::2f14:d7:fa8a:1dc9%28]:1900  *:*                                    6560
  UDP    [fe80::2f14:d7:fa8a:1dc9%28]:63634  *:*                                    6560
  UDP    [fe80::d931:ce9a:cb39:9c26%34]:1900  *:*                                    6560
  UDP    [fe80::d931:ce9a:cb39:9c26%34]:63636  *:*                                    6560
